City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,Granada,37.25,-3.25,68.0,30,84,4.0,ES,2020-09-13 02:13:47
132,Yar-Sale,66.83,70.83,50.18,88,100,5.41,RU,2020-09-13 02:11:35
133,Vanavara,60.34,102.28,50.43,68,31,4.94,RU,2020-09-13 02:13:47
134,Kununurra,-15.77,128.73,89.6,43,46,5.82,AU,2020-09-13 02:13:28
135,Awbari,26.59,12.78,79.88,19,0,9.82,LY,2020-09-13 02:13:48
136,Butaritari,3.07,172.79,81.7,72,84,13.62,KI,2020-09-13 02:13:48
137,Tarko-Sale,64.92,77.78,55.0,79,60,1.01,RU,2020-09-13 02:13:48
138,Sao Joao Da Barra,-21.64,-41.05,73.26,82,0,25.64,BR,2020-09-13 02:13:49
139,Barrow,71.29,-156.79,39.2,93,90,13.87,US,2020-09-13 02:13:31
140,Hithadhoo,-0.6,73.08,82.85,68,100,8.03,MV,2020-09-13 02:13:49
141,Salalah,17.02,54.09,80.6,74,75,5.82,OM,2020-09-13 02:13:49
142,Gamba,-2.65,10.0,74.53,86,100,7.67,GA,2020-09-13 02:12:29
143,San Patricio,19.22,-104.7,84.2,83,75,11.41,MX,2020-09-13 02:11:53
144,Yellowknife,62.46,-114.35,44.6,87,90,10.29,CA,2020-09-13 02:13:50
145,Kasongo-Lunda,-6.47,16.82,75.4,49,1,2.17,CD,2020-09-13 02:13:51
146,Ancud,-41.87,-73.82,44.01,97,52,18.99,CL,2020-09-13 02:13:51
147,Faanui,-16.48,-151.75,78.98,76,82,10.2,PF,2020-09-13 02:13:07
148,Thompson,55.74,-97.86,41.0,80,75,5.82,CA,2020-09-13 02:13:52
149,Canto Do Buriti,-8.11,-42.94,76.98,42,46,9.4,BR,2020-09-13 02:13:52
150,Vaini,-21.2,-175.2,71.6,68,75,12.75,TO,2020-09-13 02:12:24
151,Sorland,67.67,12.69,51.46,74,20,28.34,NO,2020-09-13 02:13:53
152,Lazaro Cardenas,17.96,-102.2,80.78,82,99,0.87,MX,2020-09-13 02:09:12
153,Orlik,52.52,99.83,39.4,73,100,4.45,RU,2020-09-13 02:13:54
154,Kottagudem,17.55,80.63,80.02,87,100,3.98,IN,2020-09-13 02:13:54
155,Verkhnyaya Toyma,62.23,45.0,46.89,95,100,8.12,RU,2020-09-13 02:13:54
156,Boa Vista,2.82,-60.67,82.4,69,100,2.24,BR,2020-09-13 02:13:55
157,Chake Chake,-5.25,39.77,74.35,86,63,7.99,TZ,2020-09-13 02:13:55
158,Wajima,37.4,136.9,73.4,94,75,8.05,JP,2020-09-13 02:13:56
159,Airai,-8.93,125.41,75.04,30,90,7.23,TL,2020-09-13 02:13:56
160,Caribou,46.86,-68.01,59.0,54,1,4.7,US,2020-09-13 02:13:57
161,La Ronge,55.1,-105.28,48.2,70,75,11.41,CA,2020-09-13 02:13:57
162,Rio Gallegos,-51.62,-69.22,41.0,75,75,24.16,AR,2020-09-13 02:13:57
163,Zabol,32.25,67.25,62.67,26,0,6.13,AF,2020-09-13 02:13:58
164,Bambanglipuro,-7.95,110.28,79.97,70,96,10.63,ID,2020-09-13 02:13:58
165,Tonj,7.27,28.68,71.37,95,97,2.84,SS,2020-09-13 02:13:59
166,Moss Vale,-34.55,150.38,75.0,40,100,8.05,AU,2020-09-13 02:13:59
167,Souillac,-20.52,57.52,68.0,88,40,2.24,MU,2020-09-13 02:12:31
168,Mahanje,-9.93,35.33,61.45,73,56,0.89,TZ,2020-09-13 02:13:59
169,Najran,17.49,44.13,72.5,21,39,3.36,SA,2020-09-13 02:12:13
170,Necochea,-38.55,-58.74,50.0,42,0,13.0,AR,2020-09-13 02:14:00
171,Quang Ngai,15.12,108.8,88.45,58,57,2.28,VN,2020-09-13 02:14:01
172,Tupik,54.43,119.93,63.75,61,50,4.05,RU,2020-09-13 02:14:01
